signal,category,ticker,spread_bps,gross_sharpe,turnover,net_sharpe,decision,liquidity_tier
random_noise_1,garbage,SPY,1.5,0.0,2.0,-0.004074535599249993,REJECT,ultra_liquid
random_noise_1,garbage,QQQ,2.0,0.0,2.0,-0.005446470418323181,REJECT,ultra_liquid
random_noise_1,garbage,IWM,5.0,0.0,2.0,-0.013576765581113408,REJECT,liquid
random_noise_1,garbage,TLT,3.0,0.0,2.0,-0.008238513917599978,REJECT,liquid
random_noise_1,garbage,GLD,4.0,0.0,2.0,-0.011046139985886872,REJECT,liquid
random_noise_1,garbage,EEM,8.0,0.0,2.0,-0.022227760524333253,REJECT,medium
random_noise_1,garbage,VWO,10.0,0.0,2.0,-0.02805230731272177,REJECT,medium
random_noise_1,garbage,EFA,6.0,0.0,2.0,-0.01656568542494924,REJECT,medium
random_noise_1,garbage,EWZ,20.0,0.0,2.0,-0.05666666666666667,REJECT,illiquid
random_noise_1,garbage,RSX,35.0,0.0,2.0,-0.09899018758282571,REJECT,illiquid
random_noise_1,garbage,XME,15.0,0.0,2.0,-0.04298142396999972,REJECT,illiquid
random_noise_2,garbage,SPY,1.5,0.0,3.0,-0.006111803398874989,REJECT,ultra_liquid
random_noise_2,garbage,QQQ,2.0,0.0,3.0,-0.008169705627484772,REJECT,ultra_liquid
random_noise_2,garbage,IWM,5.0,0.0,3.0,-0.02036514837167011,REJECT,liquid
random_noise_2,garbage,TLT,3.0,0.0,3.0,-0.012357770876399967,REJECT,liquid
random_noise_2,garbage,GLD,4.0,0.0,3.0,-0.01656920997883031,REJECT,liquid
random_noise_2,garbage,EEM,8.0,0.0,3.0,-0.03334164078649988,REJECT,medium
random_noise_2,garbage,VWO,10.0,0.0,3.0,-0.04207846096908266,REJECT,medium
random_noise_2,garbage,EFA,6.0,0.0,3.0,-0.02484852813742386,REJECT,medium
random_noise_2,garbage,EWZ,20.0,0.0,3.0,-0.085,REJECT,illiquid
random_noise_2,garbage,RSX,35.0,0.0,3.0,-0.1484852813742386,REJECT,illiquid
random_noise_2,garbage,XME,15.0,0.0,3.0,-0.0644721359549996,REJECT,illiquid
reverse_momentum,garbage,SPY,1.5,-0.3,2.5,-0.30509316949906246,REJECT,ultra_liquid
reverse_momentum,garbage,QQQ,2.0,-0.3,2.5,-0.306808088022904,REJECT,ultra_liquid
reverse_momentum,garbage,IWM,5.0,-0.3,2.5,-0.31697095697639177,REJECT,liquid
reverse_momentum,garbage,TLT,3.0,-0.3,2.5,-0.31029814239699993,REJECT,liquid
reverse_momentum,garbage,GLD,4.0,-0.3,2.5,-0.31380767498235856,REJECT,liquid
reverse_momentum,garbage,EEM,8.0,-0.3,2.5,-0.32778470065541654,REJECT,medium
reverse_momentum,garbage,VWO,10.0,-0.3,2.5,-0.3350653841409022,REJECT,medium
reverse_momentum,garbage,EFA,6.0,-0.3,2.5,-0.3207071067811865,REJECT,medium
reverse_momentum,garbage,EWZ,20.0,-0.3,2.5,-0.37083333333333335,REJECT,illiquid
reverse_momentum,garbage,RSX,35.0,-0.3,2.5,-0.42373773447853214,REJECT,illiquid
reverse_momentum,garbage,XME,15.0,-0.3,2.5,-0.3537267799624996,REJECT,illiquid
buy_high_vol,garbage,SPY,1.5,-0.2,3.0,-0.206111803398875,REJECT,ultra_liquid
buy_high_vol,garbage,QQQ,2.0,-0.2,3.0,-0.20816970562748477,REJECT,ultra_liquid
buy_high_vol,garbage,IWM,5.0,-0.2,3.0,-0.22036514837167012,REJECT,liquid
buy_high_vol,garbage,TLT,3.0,-0.2,3.0,-0.21235777087639998,REJECT,liquid
buy_high_vol,garbage,GLD,4.0,-0.2,3.0,-0.21656920997883033,REJECT,liquid
buy_high_vol,garbage,EEM,8.0,-0.2,3.0,-0.23334164078649988,REJECT,medium
buy_high_vol,garbage,VWO,10.0,-0.2,3.0,-0.24207846096908267,REJECT,medium
buy_high_vol,garbage,EFA,6.0,-0.2,3.0,-0.22484852813742387,REJECT,medium
buy_high_vol,garbage,EWZ,20.0,-0.2,3.0,-0.28500000000000003,REJECT,illiquid
buy_high_vol,garbage,RSX,35.0,-0.2,3.0,-0.3484852813742386,REJECT,illiquid
buy_high_vol,garbage,XME,15.0,-0.2,3.0,-0.26447213595499963,REJECT,illiquid
chase_news,garbage,SPY,1.5,-0.1,4.0,-0.1081490711985,REJECT,ultra_liquid
chase_news,garbage,QQQ,2.0,-0.1,4.0,-0.11089294083664637,REJECT,ultra_liquid
chase_news,garbage,IWM,5.0,-0.1,4.0,-0.12715353116222683,REJECT,liquid
chase_news,garbage,TLT,3.0,-0.1,4.0,-0.11647702783519996,REJECT,liquid
chase_news,garbage,GLD,4.0,-0.1,4.0,-0.12209227997177374,REJECT,liquid
chase_news,garbage,EEM,8.0,-0.1,4.0,-0.14445552104866652,REJECT,medium
chase_news,garbage,VWO,10.0,-0.1,4.0,-0.15610461462544356,REJECT,medium
chase_news,garbage,EFA,6.0,-0.1,4.0,-0.13313137084989848,REJECT,medium
chase_news,garbage,EWZ,20.0,-0.1,4.0,-0.21333333333333335,REJECT,illiquid
chase_news,garbage,RSX,35.0,-0.1,4.0,-0.29798037516565146,REJECT,illiquid
chase_news,garbage,XME,15.0,-0.1,4.0,-0.18596284793999945,REJECT,illiquid
moon_phase,garbage,SPY,1.5,0.0,1.5,-0.0030559016994374947,REJECT,ultra_liquid
moon_phase,garbage,QQQ,2.0,0.0,1.5,-0.004084852813742386,REJECT,ultra_liquid
moon_phase,garbage,IWM,5.0,0.0,1.5,-0.010182574185835055,REJECT,liquid
moon_phase,garbage,TLT,3.0,0.0,1.5,-0.0061788854381999835,REJECT,liquid
moon_phase,garbage,GLD,4.0,0.0,1.5,-0.008284604989415155,REJECT,liquid
moon_phase,garbage,EEM,8.0,0.0,1.5,-0.01667082039324994,REJECT,medium
moon_phase,garbage,VWO,10.0,0.0,1.5,-0.02103923048454133,REJECT,medium
moon_phase,garbage,EFA,6.0,0.0,1.5,-0.01242426406871193,REJECT,medium
moon_phase,garbage,EWZ,20.0,0.0,1.5,-0.0425,REJECT,illiquid
moon_phase,garbage,RSX,35.0,0.0,1.5,-0.0742426406871193,REJECT,illiquid
moon_phase,garbage,XME,15.0,0.0,1.5,-0.0322360679774998,REJECT,illiquid
friday_effect,garbage,SPY,1.5,0.05,2.0,0.04592546440075001,REJECT,ultra_liquid
