signal,category,gross_sharpe,turnover,cost_bps,net_sharpe,decision,scenario
random_noise_1,garbage,0.0,2.0,1.5,-0.004,REJECT,realistic
random_noise_2,garbage,0.0,3.0,1.5,-0.006,REJECT,realistic
reverse_momentum,garbage,-0.3,2.5,1.5,-0.305,REJECT,realistic
buy_high_vol,garbage,-0.2,3.0,1.5,-0.20600000000000002,REJECT,realistic
chase_news,garbage,-0.1,4.0,1.5,-0.10800000000000001,REJECT,realistic
moon_phase,garbage,0.0,1.5,1.5,-0.003,REJECT,realistic
friday_effect,garbage,0.05,2.0,1.5,0.046,REJECT,realistic
twitter_sentiment,garbage,0.1,5.0,1.5,0.09000000000000001,REJECT,realistic
round_number,garbage,0.0,3.0,1.5,-0.006,REJECT,realistic
contrarian_extreme,garbage,-0.15,4.0,1.5,-0.158,REJECT,realistic
momentum_12_1,mediocre,0.4,4.2,1.5,0.3916,REJECT,realistic
momentum_6_1,mediocre,0.35,5.0,1.5,0.33999999999999997,REJECT,realistic
momentum_3_1,mediocre,0.3,6.0,1.5,0.288,REJECT,realistic
ma_crossover_20_50,mediocre,0.3,3.5,1.5,0.293,REJECT,realistic
ma_crossover_10_30,mediocre,0.25,4.5,1.5,0.241,REJECT,realistic
rsi_reversal,mediocre,0.35,4.0,1.5,0.34199999999999997,REJECT,realistic
bollinger_breakout,mediocre,0.3,3.8,1.5,0.2924,REJECT,realistic
volume_spike,mediocre,0.25,5.5,1.5,0.239,REJECT,realistic
gap_fade,mediocre,0.4,6.0,1.5,0.388,REJECT,realistic
mean_reversion_5d,mediocre,0.45,4.5,1.5,0.441,REJECT,realistic
mean_reversion_10d,mediocre,0.4,3.5,1.5,0.393,REJECT,realistic
breakout_20d,mediocre,0.35,3.0,1.5,0.344,REJECT,realistic
earnings_drift,mediocre,0.5,4.0,1.5,0.492,REJECT,realistic
sector_rotation,mediocre,0.3,2.5,1.5,0.295,REJECT,realistic
pairs_trading,mediocre,0.4,5.0,1.5,0.39,REJECT,realistic
beta_timing,mediocre,0.25,3.0,1.5,0.244,REJECT,realistic
vix_timing,mediocre,0.3,2.8,1.5,0.2944,REJECT,realistic
yield_curve,mediocre,0.35,2.0,1.5,0.346,REJECT,realistic
credit_spread,mediocre,0.3,1.8,1.5,0.2964,REJECT,realistic
momentum_factor,mediocre,0.45,3.5,1.5,0.443,REJECT,realistic
quality_quarterly,borderline,0.55,1.5,1.5,0.547,PASS,realistic
value_pe_quarterly,borderline,0.5,1.2,1.5,0.4976,REJECT,realistic
value_pb_quarterly,borderline,0.45,1.3,1.5,0.4474,REJECT,realistic
momentum_12_3,borderline,0.5,2.0,1.5,0.496,REJECT,realistic
momentum_12_6,borderline,0.55,1.5,1.5,0.547,PASS,realistic
low_vol_quarterly,borderline,0.5,1.0,1.5,0.498,REJECT,realistic
dividend_yield,borderline,0.45,0.8,1.5,0.4484,REJECT,realistic
profitability,borderline,0.55,1.2,1.5,0.5476000000000001,PASS,realistic
investment,borderline,0.5,1.0,1.5,0.498,REJECT,realistic
size_small,borderline,0.4,0.9,1.5,0.3982,REJECT,realistic
quality_roe,borderline,0.55,1.4,1.5,0.5472,PASS,realistic
quality_fcf,borderline,0.6,1.3,1.5,0.5973999999999999,PASS,realistic
combo_value_mom,borderline,0.55,1.8,1.5,0.5464,PASS,realistic
combo_quality_value,borderline,0.6,1.2,1.5,0.5976,PASS,realistic
carry_fx,borderline,0.5,1.5,1.5,0.497,REJECT,realistic
value_annual,robust,0.7,0.4,1.5,0.6991999999999999,PASS,realistic
quality_annual,robust,0.75,0.3,1.5,0.7494,PASS,realistic
buyhold_value,robust,0.65,0.2,1.5,0.6496000000000001,PASS,realistic
dividend_annual,robust,0.6,0.25,1.5,0.5995,PASS,realistic
multifactor_annual,robust,0.8,0.35,1.5,0.7993,PASS,realistic
random_noise_1,garbage,0.0,2.0,10.0,-0.02666666666666667,REJECT,conservative
random_noise_2,garbage,0.0,3.0,10.0,-0.04,REJECT,conservative
reverse_momentum,garbage,-0.3,2.5,10.0,-0.3333333333333333,REJECT,conservative
buy_high_vol,garbage,-0.2,3.0,10.0,-0.24000000000000002,REJECT,conservative
chase_news,garbage,-0.1,4.0,10.0,-0.15333333333333335,REJECT,conservative
moon_phase,garbage,0.0,1.5,10.0,-0.02,REJECT,conservative
friday_effect,garbage,0.05,2.0,10.0,0.023333333333333334,REJECT,conservative
twitter_sentiment,garbage,0.1,5.0,10.0,0.03333333333333334,REJECT,conservative
round_number,garbage,0.0,3.0,10.0,-0.04,REJECT,conservative
contrarian_extreme,garbage,-0.15,4.0,10.0,-0.20333333333333334,REJECT,conservative
momentum_12_1,mediocre,0.4,4.2,10.0,0.34400000000000003,REJECT,conservative
momentum_6_1,mediocre,0.35,5.0,10.0,0.2833333333333333,REJECT,conservative
momentum_3_1,mediocre,0.3,6.0,10.0,0.21999999999999997,REJECT,conservative
ma_crossover_20_50,mediocre,0.3,3.5,10.0,0.2533333333333333,REJECT,conservative
ma_crossover_10_30,mediocre,0.25,4.5,10.0,0.19,REJECT,conservative
rsi_reversal,mediocre,0.35,4.0,10.0,0.29666666666666663,REJECT,conservative
bollinger_breakout,mediocre,0.3,3.8,10.0,0.24933333333333332,REJECT,conservative
volume_spike,mediocre,0.25,5.5,10.0,0.17666666666666667,REJECT,conservative
gap_fade,mediocre,0.4,6.0,10.0,0.32,REJECT,conservative
mean_reversion_5d,mediocre,0.45,4.5,10.0,0.39,REJECT,conservative
mean_reversion_10d,mediocre,0.4,3.5,10.0,0.35333333333333333,REJECT,conservative
breakout_20d,mediocre,0.35,3.0,10.0,0.31,REJECT,conservative
earnings_drift,mediocre,0.5,4.0,10.0,0.44666666666666666,REJECT,conservative
sector_rotation,mediocre,0.3,2.5,10.0,0.26666666666666666,REJECT,conservative
pairs_trading,mediocre,0.4,5.0,10.0,0.33333333333333337,REJECT,conservative
beta_timing,mediocre,0.25,3.0,10.0,0.21,REJECT,conservative
