name,category,gross_sharpe,turnover,ground_truth,framework_verdict,net_sharpe,correct
random_noise_1,garbage,0.0,2.0,0,0,-0.02666666666666667,True
random_noise_2,garbage,0.0,3.0,0,0,-0.04,True
reverse_momentum,garbage,-0.3,2.5,0,0,-0.3333333333333333,True
buy_high_vol,garbage,-0.2,3.0,0,0,-0.24000000000000002,True
chase_news,garbage,-0.1,4.0,0,0,-0.15333333333333335,True
moon_phase,garbage,0.0,1.5,0,0,-0.02,True
friday_effect,garbage,0.05,2.0,0,0,0.023333333333333334,True
twitter_sentiment,garbage,0.1,5.0,0,0,0.03333333333333334,True
round_number,garbage,0.0,3.0,0,0,-0.04,True
contrarian_extreme,garbage,-0.15,4.0,0,0,-0.20333333333333334,True
momentum_12_1,mediocre,0.4,4.2,0,0,0.34400000000000003,True
momentum_6_1,mediocre,0.35,5.0,0,0,0.2833333333333333,True
momentum_3_1,mediocre,0.3,6.0,0,0,0.21999999999999997,True
ma_crossover_20_50,mediocre,0.3,3.5,0,0,0.2533333333333333,True
ma_crossover_10_30,mediocre,0.25,4.5,0,0,0.19,True
rsi_reversal,mediocre,0.35,4.0,0,0,0.29666666666666663,True
bollinger_breakout,mediocre,0.3,3.8,0,0,0.24933333333333332,True
volume_spike,mediocre,0.25,5.5,0,0,0.17666666666666667,True
gap_fade,mediocre,0.4,6.0,0,0,0.32,True
mean_reversion_5d,mediocre,0.45,4.5,0,0,0.39,True
mean_reversion_10d,mediocre,0.4,3.5,0,0,0.35333333333333333,True
breakout_20d,mediocre,0.35,3.0,0,0,0.31,True
earnings_drift,mediocre,0.5,4.0,0,0,0.44666666666666666,True
sector_rotation,mediocre,0.3,2.5,0,0,0.26666666666666666,True
pairs_trading,mediocre,0.4,5.0,0,0,0.33333333333333337,True
beta_timing,mediocre,0.25,3.0,0,0,0.21,True
vix_timing,mediocre,0.3,2.8,0,0,0.26266666666666666,True
yield_curve,mediocre,0.35,2.0,0,0,0.3233333333333333,True
credit_spread,mediocre,0.3,1.8,0,0,0.27599999999999997,True
momentum_factor,mediocre,0.45,3.5,0,0,0.4033333333333333,True
quality_quarterly,borderline,0.55,1.5,0,1,0.53,False
value_pe_quarterly,borderline,0.5,1.2,0,0,0.484,True
value_pb_quarterly,borderline,0.45,1.3,0,0,0.4326666666666667,True
momentum_12_3,borderline,0.5,2.0,0,0,0.47333333333333333,True
momentum_12_6,borderline,0.55,1.5,0,1,0.53,False
low_vol_quarterly,borderline,0.5,1.0,0,0,0.4866666666666667,True
dividend_yield,borderline,0.45,0.8,0,0,0.43933333333333335,True
profitability,borderline,0.55,1.2,0,1,0.534,False
investment,borderline,0.5,1.0,0,0,0.4866666666666667,True
size_small,borderline,0.4,0.9,0,0,0.388,True
quality_roe,borderline,0.55,1.4,0,1,0.5313333333333333,False
quality_fcf,borderline,0.6,1.3,1,1,0.5826666666666667,True
combo_value_mom,borderline,0.55,1.8,0,1,0.526,False
combo_quality_value,borderline,0.6,1.2,1,1,0.584,True
carry_fx,borderline,0.5,1.5,0,0,0.48,True
value_annual,robust,0.7,0.4,1,1,0.6946666666666667,True
quality_annual,robust,0.75,0.3,1,1,0.746,True
buyhold_value,robust,0.65,0.2,1,1,0.6473333333333333,True
dividend_annual,robust,0.6,0.25,1,1,0.5966666666666667,True
multifactor_annual,robust,0.8,0.35,1,1,0.7953333333333333,True
