name,gross_sharpe,turnover,net_sharpe,cost_bps,decision,factor,cost_level
mom_12_1,0.45,4.2,0.4416,1.5,REJECT,momentum,realistic
mom_12_1,0.45,4.2,0.394,10.0,REJECT,momentum,conservative
mom_12_1,0.45,4.2,0.16999999999999998,50.0,REJECT,momentum,sabotage
mom_12_3,0.5,2.0,0.496,1.5,REJECT,momentum,realistic
mom_12_3,0.5,2.0,0.47333333333333333,10.0,REJECT,momentum,conservative
mom_12_3,0.5,2.0,0.3666666666666667,50.0,REJECT,momentum,sabotage
mom_12_6,0.55,1.2,0.5476000000000001,1.5,PASS,momentum,realistic
mom_12_6,0.55,1.2,0.534,10.0,PASS,momentum,conservative
mom_12_6,0.55,1.2,0.47000000000000003,50.0,REJECT,momentum,sabotage
mom_12_12,0.5,0.6,0.4988,1.5,REJECT,momentum,realistic
mom_12_12,0.5,0.6,0.492,10.0,REJECT,momentum,conservative
mom_12_12,0.5,0.6,0.46,50.0,REJECT,momentum,sabotage
mom_6_1,0.35,5.0,0.33999999999999997,1.5,REJECT,momentum,realistic
mom_6_1,0.35,5.0,0.2833333333333333,10.0,REJECT,momentum,conservative
mom_6_1,0.35,5.0,0.016666666666666607,50.0,REJECT,momentum,sabotage
mom_6_3,0.4,2.5,0.395,1.5,REJECT,momentum,realistic
mom_6_3,0.4,2.5,0.3666666666666667,10.0,REJECT,momentum,conservative
mom_6_3,0.4,2.5,0.23333333333333334,50.0,REJECT,momentum,sabotage
mom_6_6,0.45,1.5,0.447,1.5,REJECT,momentum,realistic
mom_6_6,0.45,1.5,0.43,10.0,REJECT,momentum,conservative
mom_6_6,0.45,1.5,0.35,50.0,REJECT,momentum,sabotage
mom_3_1,0.25,6.0,0.238,1.5,REJECT,momentum,realistic
mom_3_1,0.25,6.0,0.16999999999999998,10.0,REJECT,momentum,conservative
mom_3_1,0.25,6.0,-0.15000000000000002,50.0,REJECT,momentum,sabotage
mom_3_3,0.3,3.0,0.294,1.5,REJECT,momentum,realistic
mom_3_3,0.3,3.0,0.26,10.0,REJECT,momentum,conservative
mom_3_3,0.3,3.0,0.09999999999999998,50.0,REJECT,momentum,sabotage
mom_12_1_skip1,0.4,4.0,0.392,1.5,REJECT,momentum,realistic
mom_12_1_skip1,0.4,4.0,0.3466666666666667,10.0,REJECT,momentum,conservative
mom_12_1_skip1,0.4,4.0,0.13333333333333336,50.0,REJECT,momentum,sabotage
value_pe_monthly,0.4,1.5,0.397,1.5,REJECT,value,realistic
value_pe_monthly,0.4,1.5,0.38,10.0,REJECT,value,conservative
value_pe_monthly,0.4,1.5,0.30000000000000004,50.0,REJECT,value,sabotage
value_pe_quarterly,0.45,0.8,0.4484,1.5,REJECT,value,realistic
value_pe_quarterly,0.45,0.8,0.43933333333333335,10.0,REJECT,value,conservative
value_pe_quarterly,0.45,0.8,0.39666666666666667,50.0,REJECT,value,sabotage
value_pe_annual,0.5,0.3,0.4994,1.5,REJECT,value,realistic
value_pe_annual,0.5,0.3,0.496,10.0,REJECT,value,conservative
value_pe_annual,0.5,0.3,0.48,50.0,REJECT,value,sabotage
value_pb_monthly,0.35,1.8,0.3464,1.5,REJECT,value,realistic
value_pb_monthly,0.35,1.8,0.32599999999999996,10.0,REJECT,value,conservative
value_pb_monthly,0.35,1.8,0.22999999999999995,50.0,REJECT,value,sabotage
value_pb_quarterly,0.4,0.9,0.3982,1.5,REJECT,value,realistic
value_pb_quarterly,0.4,0.9,0.388,10.0,REJECT,value,conservative
value_pb_quarterly,0.4,0.9,0.34,50.0,REJECT,value,sabotage
value_pb_annual,0.45,0.35,0.44930000000000003,1.5,REJECT,value,realistic
value_pb_annual,0.45,0.35,0.44533333333333336,10.0,REJECT,value,conservative
value_pb_annual,0.45,0.35,0.4266666666666667,50.0,REJECT,value,sabotage
value_fcf_quarterly,0.55,0.7,0.5486000000000001,1.5,PASS,value,realistic
value_fcf_quarterly,0.55,0.7,0.5406666666666667,10.0,PASS,value,conservative
value_fcf_quarterly,0.55,0.7,0.5033333333333334,50.0,PASS,value,sabotage
value_fcf_annual,0.6,0.25,0.5995,1.5,PASS,value,realistic
value_fcf_annual,0.6,0.25,0.5966666666666667,10.0,PASS,value,conservative
value_fcf_annual,0.6,0.25,0.5833333333333333,50.0,PASS,value,sabotage
value_ev_ebitda_q,0.5,0.75,0.4985,1.5,REJECT,value,realistic
value_ev_ebitda_q,0.5,0.75,0.49,10.0,REJECT,value,conservative
value_ev_ebitda_q,0.5,0.75,0.45,50.0,REJECT,value,sabotage
value_composite,0.65,0.3,0.6494,1.5,PASS,value,realistic
value_composite,0.65,0.3,0.646,10.0,PASS,value,conservative
value_composite,0.65,0.3,0.63,50.0,PASS,value,sabotage
quality_roe_monthly,0.5,1.2,0.4976,1.5,REJECT,quality,realistic
quality_roe_monthly,0.5,1.2,0.484,10.0,REJECT,quality,conservative
quality_roe_monthly,0.5,1.2,0.42,50.0,REJECT,quality,sabotage
quality_roe_quarterly,0.55,0.6,0.5488000000000001,1.5,PASS,quality,realistic
quality_roe_quarterly,0.55,0.6,0.542,10.0,PASS,quality,conservative
quality_roe_quarterly,0.55,0.6,0.51,50.0,PASS,quality,sabotage
quality_roe_annual,0.6,0.25,0.5995,1.5,PASS,quality,realistic
quality_roe_annual,0.6,0.25,0.5966666666666667,10.0,PASS,quality,conservative
quality_roe_annual,0.6,0.25,0.5833333333333333,50.0,PASS,quality,sabotage
quality_roa_quarterly,0.5,0.65,0.4987,1.5,REJECT,quality,realistic
quality_roa_quarterly,0.5,0.65,0.49133333333333334,10.0,REJECT,quality,conservative
quality_roa_quarterly,0.5,0.65,0.45666666666666667,50.0,REJECT,quality,sabotage
quality_fcf_margin_q,0.6,0.5,0.599,1.5,PASS,quality,realistic
quality_fcf_margin_q,0.6,0.5,0.5933333333333333,10.0,PASS,quality,conservative
quality_fcf_margin_q,0.6,0.5,0.5666666666666667,50.0,PASS,quality,sabotage
quality_fcf_margin_a,0.65,0.2,0.6496000000000001,1.5,PASS,quality,realistic
quality_fcf_margin_a,0.65,0.2,0.6473333333333333,10.0,PASS,quality,conservative
quality_fcf_margin_a,0.65,0.2,0.6366666666666667,50.0,PASS,quality,sabotage
quality_gp_assets,0.7,0.3,0.6993999999999999,1.5,PASS,quality,realistic
quality_gp_assets,0.7,0.3,0.696,10.0,PASS,quality,conservative
quality_gp_assets,0.7,0.3,0.6799999999999999,50.0,PASS,quality,sabotage
quality_accruals,0.55,0.35,0.5493,1.5,PASS,quality,realistic
quality_accruals,0.55,0.35,0.5453333333333333,10.0,PASS,quality,conservative
quality_accruals,0.55,0.35,0.5266666666666667,50.0,PASS,quality,sabotage
quality_f_score,0.6,0.4,0.5992,1.5,PASS,quality,realistic
quality_f_score,0.6,0.4,0.5946666666666667,10.0,PASS,quality,conservative
quality_f_score,0.6,0.4,0.5733333333333334,50.0,PASS,quality,sabotage
quality_composite,0.75,0.25,0.7495,1.5,PASS,quality,realistic
quality_composite,0.75,0.25,0.7466666666666667,10.0,PASS,quality,conservative
quality_composite,0.75,0.25,0.7333333333333333,50.0,PASS,quality,sabotage
lowvol_realized_m,0.45,1.0,0.448,1.5,REJECT,low_vol,realistic
lowvol_realized_m,0.45,1.0,0.4366666666666667,10.0,REJECT,low_vol,conservative
lowvol_realized_m,0.45,1.0,0.38333333333333336,50.0,REJECT,low_vol,sabotage
lowvol_realized_q,0.5,0.5,0.499,1.5,REJECT,low_vol,realistic
lowvol_realized_q,0.5,0.5,0.49333333333333335,10.0,REJECT,low_vol,conservative
lowvol_realized_q,0.5,0.5,0.4666666666666667,50.0,REJECT,low_vol,sabotage
lowvol_realized_a,0.55,0.2,0.5496000000000001,1.5,PASS,low_vol,realistic
lowvol_realized_a,0.55,0.2,0.5473333333333333,10.0,PASS,low_vol,conservative
lowvol_realized_a,0.55,0.2,0.5366666666666667,50.0,PASS,low_vol,sabotage
lowvol_beta_m,0.4,1.2,0.3976,1.5,REJECT,low_vol,realistic
lowvol_beta_m,0.4,1.2,0.384,10.0,REJECT,low_vol,conservative
lowvol_beta_m,0.4,1.2,0.32,50.0,REJECT,low_vol,sabotage
lowvol_beta_q,0.45,0.6,0.44880000000000003,1.5,REJECT,low_vol,realistic
lowvol_beta_q,0.45,0.6,0.442,10.0,REJECT,low_vol,conservative
lowvol_beta_q,0.45,0.6,0.41000000000000003,50.0,REJECT,low_vol,sabotage
lowvol_beta_a,0.5,0.25,0.4995,1.5,REJECT,low_vol,realistic
lowvol_beta_a,0.5,0.25,0.49666666666666665,10.0,REJECT,low_vol,conservative
lowvol_beta_a,0.5,0.25,0.48333333333333334,50.0,REJECT,low_vol,sabotage
lowvol_idio_q,0.55,0.55,0.5489,1.5,PASS,low_vol,realistic
lowvol_idio_q,0.55,0.55,0.5426666666666667,10.0,PASS,low_vol,conservative
lowvol_idio_q,0.55,0.55,0.5133333333333334,50.0,PASS,low_vol,sabotage
lowvol_dd_q,0.5,0.7,0.4986,1.5,REJECT,low_vol,realistic
lowvol_dd_q,0.5,0.7,0.49066666666666664,10.0,REJECT,low_vol,conservative
lowvol_dd_q,0.5,0.7,0.45333333333333337,50.0,REJECT,low_vol,sabotage
lowvol_min_var,0.55,0.8,0.5484,1.5,PASS,low_vol,realistic
lowvol_min_var,0.55,0.8,0.5393333333333333,10.0,PASS,low_vol,conservative
lowvol_min_var,0.55,0.8,0.4966666666666667,50.0,REJECT,low_vol,sabotage
lowvol_min_var_a,0.6,0.3,0.5993999999999999,1.5,PASS,low_vol,realistic
lowvol_min_var_a,0.6,0.3,0.596,10.0,PASS,low_vol,conservative
lowvol_min_var_a,0.6,0.3,0.58,50.0,PASS,low_vol,sabotage
mf_value_mom_q,0.55,1.0,0.548,1.5,PASS,multifactor,realistic
mf_value_mom_q,0.55,1.0,0.5366666666666667,10.0,PASS,multifactor,conservative
mf_value_mom_q,0.55,1.0,0.4833333333333334,50.0,REJECT,multifactor,sabotage
mf_value_mom_a,0.6,0.4,0.5992,1.5,PASS,multifactor,realistic
mf_value_mom_a,0.6,0.4,0.5946666666666667,10.0,PASS,multifactor,conservative
mf_value_mom_a,0.6,0.4,0.5733333333333334,50.0,PASS,multifactor,sabotage
mf_quality_value_q,0.6,0.7,0.5986,1.5,PASS,multifactor,realistic
mf_quality_value_q,0.6,0.7,0.5906666666666667,10.0,PASS,multifactor,conservative
mf_quality_value_q,0.6,0.7,0.5533333333333333,50.0,PASS,multifactor,sabotage
mf_quality_value_a,0.7,0.3,0.6993999999999999,1.5,PASS,multifactor,realistic
mf_quality_value_a,0.7,0.3,0.696,10.0,PASS,multifactor,conservative
mf_quality_value_a,0.7,0.3,0.6799999999999999,50.0,PASS,multifactor,sabotage
mf_quality_lowvol_a,0.7,0.25,0.6995,1.5,PASS,multifactor,realistic
mf_quality_lowvol_a,0.7,0.25,0.6966666666666667,10.0,PASS,multifactor,conservative
mf_quality_lowvol_a,0.7,0.25,0.6833333333333332,50.0,PASS,multifactor,sabotage
mf_3factor_q,0.65,0.8,0.6484,1.5,PASS,multifactor,realistic
mf_3factor_q,0.65,0.8,0.6393333333333333,10.0,PASS,multifactor,conservative
mf_3factor_q,0.65,0.8,0.5966666666666667,50.0,PASS,multifactor,sabotage
mf_3factor_a,0.75,0.35,0.7493,1.5,PASS,multifactor,realistic
mf_3factor_a,0.75,0.35,0.7453333333333333,10.0,PASS,multifactor,conservative
mf_3factor_a,0.75,0.35,0.7266666666666667,50.0,PASS,multifactor,sabotage
mf_4factor_a,0.8,0.3,0.7994,1.5,PASS,multifactor,realistic
mf_4factor_a,0.8,0.3,0.796,10.0,PASS,multifactor,conservative
mf_4factor_a,0.8,0.3,0.78,50.0,PASS,multifactor,sabotage
mf_defensive,0.65,0.2,0.6496000000000001,1.5,PASS,multifactor,realistic
mf_defensive,0.65,0.2,0.6473333333333333,10.0,PASS,multifactor,conservative
mf_defensive,0.65,0.2,0.6366666666666667,50.0,PASS,multifactor,sabotage
mf_aggressive,0.5,1.5,0.497,1.5,REJECT,multifactor,realistic
mf_aggressive,0.5,1.5,0.48,10.0,REJECT,multifactor,conservative
mf_aggressive,0.5,1.5,0.4,50.0,REJECT,multifactor,sabotage
